NODE	LeanDag.card_filter_not_correct_le._simp_1_3	LeanDag.DoS.Novelty	thm
NODE	LeanDag.BlockUniverse.mk.inj	LeanDag.BlockDag	thm
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Block
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Faults
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.BlockUniverse.mk.noConfusion
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Block.refs
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Correct
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.BlockUniverse.mk
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Block.round
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.BlockUniverse
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.Block.creator
EDGE	LeanDag.BlockUniverse.mk.inj	LeanDag.ValidWrt
NODE	LeanDag.ViewGrowth.built_le_latest	LeanDag.ViewSync	thm
EDGE	LeanDag.ViewGrowth.built_le_latest	LeanDag.ViewGrowth.latest
EDGE	LeanDag.ViewGrowth.built_le_latest	LeanDag.Faults
EDGE	LeanDag.ViewGrowth.built_le_latest	LeanDag.BlockUniverse
EDGE	LeanDag.ViewGrowth.built_le_latest	LeanDag.ViewGrowth
EDGE	LeanDag.ViewGrowth.built_le_latest	LeanDag.ViewGrowth.built
NODE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Odontoceti.Rules	thm
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Faults5
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.mem_supporters
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.BlockUniverse.ids
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Block.refs
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.BlockUniverse.block
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.history
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Block.round
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.BlockUniverse
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Odontoceti.coneSupports
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.supporters
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Odontoceti.mem_coneSupports
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Faults5.toFaults
EDGE	LeanDag.Odontoceti.coneSupports_subset_supporters	LeanDag.Block.creator
NODE	LeanDagTest.ugrowCatch._proof_15	LeanDagTest.Catchup	thm
NODE	LeanDagTest.rrUniverse_populatedOn._proof_1_4	LeanDagTest.Growth	thm
NODE	LeanDagTest.lky._proof_5	LeanDagTest.DoS.TwoFaults	thm
EDGE	LeanDagTest.lky._proof_5	LeanDagTest.lky._proof_2
NODE	LeanDag.mem_viewUpto._proof_1_1	LeanDag.GC.Window	thm
NODE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.Catchup	thm
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._proof_18
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.catchHolds
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.mem_T_bounds
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._proof_17
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._proof_16
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._simp_1
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._proof_19
EDGE	LeanDagTest.ugrowCatch._proof_29	LeanDagTest.ugrowCatch._simp_9
NODE	LeanDag.creators	LeanDag.Block	def
EDGE	LeanDag.creators	LeanDag.Block
EDGE	LeanDag.creators	LeanDag.creatorsOf
EDGE	LeanDag.creators	LeanDag.Block.refs
NODE	LeanDagTest.ucrashMsg._proof_12	LeanDagTest.SafeSkip	thm
EDGE	LeanDagTest.ucrashMsg._proof_12	LeanDag.BlockUniverse.block
EDGE	LeanDagTest.ucrashMsg._proof_12	LeanDagTest.Ucrash
EDGE	LeanDagTest.ucrashMsg._proof_12	LeanDagTest.instFaultsFinOfNatNat_leanDagTest
EDGE	LeanDagTest.ucrashMsg._proof_12	LeanDag.Block.creator
NODE	LeanDag.Odontoceti.AdaptiveRun	LeanDag.Adaptive.Odontoceti	ind
